1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000001
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.989853
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.999727
21	0.000181
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
28	0.000000
29	0.000000
30	0.000000
31	0.000000
32	0.000241
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	0.000000
45	0.000183
46	0.000000
47	0.000000
48	0.000000
49	0.014915
50	0.000000
51	0.000000
52	0.000000
53	0.000000
54	0.000000
55	0.000000
56	0.000000
57	0.000000
58	0.000024
59	0.000000
60	0.000000
61	0.000000
62	0.014915
63	0.000000
64	0.000000
65	0.000000
66	0.000000
67	0.000000
68	0.000000
69	0.000000
70	0.000000
71	0.000000
72	0.000000
73	0.000000
74	0.000000
75	0.000000
76	0.000000
77	0.000000
78	0.000000
79	0.000000
80	0.000000
81	0.000000
82	0.000000
83	0.000000
84	0.000000
85	0.000000
86	0.000000
87	0.000048
88	0.000000
89	0.000000
90	0.000000
91	1.000000
92	0.000000
93	0.000004
94	0.000000
95	0.000000
96	0.000000
97	0.000000
98	0.000000
99	0.000000
100	0.000002
101	0.000000
102	0.000000
103	0.000000
104	0.000000
105	0.000000
106	0.000000
107	0.000000
108	0.000000
109	0.000000
110	0.000000
111	0.000000
112	0.000000
113	0.000000
114	0.878475
115	0.001752
116	0.000000
117	0.000000
118	1.000000
119	0.000001
120	0.000000
121	0.000059
122	0.000000
123	0.000000
124	0.000000
125	0.000000
126	0.000000
127	0.000000
128	0.014915
129	0.000000
130	0.000000
131	0.000000
132	0.000000
133	0.000000
134	0.000000
135	0.000000
136	0.000000
137	0.000000
138	0.000000
139	0.000003
140	0.000000
141	0.000000
142	0.999386
143	0.000023
144	0.000000
145	0.043541
146	0.000107
147	0.577302
148	0.000000
149	0.000000
150	0.999623
151	0.000013
152	0.000000
153	0.014915
154	0.000009
155	0.000000
156	0.000000
157	0.000000
158	0.000000
159	0.000000
160	0.000000
161	0.000000
162	0.000000
163	0.000000
164	0.000000
165	0.000000
166	0.000000
167	0.000000
168	0.000000
169	0.000000
170	0.000000
171	0.000000
172	0.000000
173	0.000000
174	0.000314
175	0.000000
176	0.000000
177	0.000000
178	0.000000
179	0.000000
180	0.000000
181	0.000000
182	0.879855
183	0.000000
184	0.000405
185	0.000000
186	0.000000
187	0.000000
188	0.000000
189	0.000000
190	0.000003
191	0.000000
192	0.000000
193	0.000000
194	0.000000
195	0.024676
196	0.000000
197	0.000000
198	0.000000
199	0.000000
200	0.000000
201	0.000000
202	0.000000
203	0.000000
204	0.000000
205	0.014915
206	0.000000
207	0.000000
208	0.000000
209	0.000016
210	0.000000
211	0.000000
212	0.000000
213	0.000000
214	0.000000
215	0.000000
216	0.000000
217	0.000000
218	0.000000
219	0.000000
220	0.000692
221	0.000000
222	0.000021
223	0.000000
224	0.000000
225	0.000000
226	0.000000
227	0.000000
228	0.000000
229	0.000000
230	0.000000
231	0.000000
232	0.000000
233	0.000000
234	0.000000
235	0.000000
236	0.000000
237	0.000000
238	0.000000
239	0.001438
240	0.000000
241	0.000130
242	0.000000
243	0.000000
244	0.000000
245	0.000000
246	0.000000
247	0.000000
248	0.000049
249	0.000000
250	0.014915
251	0.000001
252	0.000000
253	0.000072
254	0.000000
255	0.000000
256	0.000000
257	0.000000
258	0.000000
259	0.000000
260	0.001754
261	0.000000
262	0.000000
263	0.000000
264	0.000000
265	0.000000
266	0.000000
267	0.000000
268	0.000000
269	0.000000
270	0.000000
271	0.000000
272	0.000000
273	0.595127
274	0.000000
275	0.000000
276	0.000000
277	0.000000
278	0.000000
279	0.000000
280	0.000000
281	0.014915
282	0.000000
283	0.000000
284	0.000000
285	0.000000
286	0.491157
287	0.000000
288	0.000000
289	0.000000
290	0.000000
291	0.002648
292	0.000000
293	0.000000
294	0.000000
295	0.000000
296	0.000000
297	0.000002
298	0.000000
299	0.000000
300	0.000000
301	0.000000
302	0.000000
303	0.000000
304	0.000004
305	0.000000
306	0.000000
307	0.000000
308	0.000085
309	0.000000
310	0.000000
311	0.000000
312	0.000000
313	0.000000
314	0.000000
315	0.000171
316	0.000005
317	0.000000
318	0.000000
319	0.000000
320	0.000000
321	0.000000
322	0.000000
323	0.000000
324	0.000000
325	0.000000
326	0.000000
327	0.000000
328	0.000000
329	0.000000
330	0.987773
331	0.000128
332	0.000000
333	0.003088
334	0.000000
335	0.004182
336	0.000000
337	0.000000
338	0.000000
339	0.000000
340	0.000000
341	0.000000
342	0.000000
343	0.000407
344	0.000000
345	0.000000
346	0.000000
347	0.000000
348	0.000000
349	0.000008
350	0.000000
351	0.000000
352	0.000000
353	0.000000
354	0.000000
355	0.000000
356	0.000003
357	0.010638
358	0.999418
359	0.000000
360	0.000000
361	1.000000
362	0.992792
363	0.029695
364	0.000000
365	0.000000
366	0.000000
367	0.000000
368	0.000000
369	0.000000
370	0.000000
371	0.000000
372	0.000000
373	0.000000
374	0.000000
375	0.000855
376	0.000000
377	0.000000
378	0.000000
379	0.000000
380	0.000000
381	0.000000
382	0.000000
383	0.000000
384	0.000000
385	0.000000
386	0.000000
387	0.000001
388	0.000000
389	0.995975
390	0.000000
391	0.000536
392	0.000000
393	0.000000
394	0.000000
395	0.000000
396	0.000000
397	0.000000
398	0.000107
399	0.000000
400	0.014915
401	0.000000
402	0.000000
403	0.011368
404	0.001010
405	0.000001
406	0.105537
407	0.000000
408	0.002154
409	0.000000
410	0.000000
411	0.000000
412	0.000000
413	0.000000
414	0.000000
415	0.000000
416	0.000000
417	0.000000
418	0.000000
419	0.000003
420	0.000000
421	0.014915
422	0.000000
423	0.929944
424	0.000000
425	0.000000
426	0.000000
427	0.000000
428	0.000000
429	0.000000
430	0.000000
431	0.000000
432	0.000000
433	0.000005
434	0.000000
435	0.096790
436	0.000000
437	0.000004
438	0.000000
439	0.005404
440	0.000000
441	0.244854
442	0.000000
443	0.000000
444	0.000000
445	0.000000
446	0.000000
447	0.000000
448	0.000000
449	0.000000
450	0.451973
451	0.000000
452	0.000000
453	0.000000
454	0.000092
455	0.999877
456	0.000608
457	0.000000
458	0.000001
459	0.000000
460	0.000000
461	0.000000
462	0.000628
463	0.000620
464	0.000000
465	0.000002
466	0.000000
467	0.000000
468	0.000000
469	0.000512
470	0.000000
471	0.000006
472	0.000000
473	0.000000
474	0.000000
475	0.000000
476	0.000000
477	0.000000
478	0.000000
479	0.000000
480	0.000009
481	0.000000
482	0.000000
483	0.000000
484	0.000000
485	0.000000
486	0.201814
487	0.000000
488	0.000005
489	0.000000
490	0.000000
491	0.000000
492	0.000003
493	0.000000
494	0.000000
495	0.000000
496	0.000000
497	0.000003
498	0.000000
499	0.000000
500	0.000000
501	0.000000
502	0.000000
503	0.000000
504	0.747004
505	0.000000
506	0.014915
507	0.000000
508	0.468406
509	0.000000
510	0.000000
511	0.000000
512	0.000000
513	0.014915
514	0.000000
515	0.000000
516	0.000000
517	0.000000
518	0.000000
519	0.000000
520	0.000000
521	0.000000
522	0.000000
523	0.000000
524	0.880363
525	0.000000
526	0.040482
527	0.000000
528	0.000000
529	0.997983
530	0.000000
531	0.000000
532	0.000000
533	0.000000
534	0.000000
535	0.000000
536	0.000000
537	0.000000
538	0.000000
539	0.000000
540	0.000000
541	0.000000
542	0.000000
543	0.000000
544	0.000000
545	0.000000
546	0.000000
547	0.000011
548	0.000000
549	0.000038
550	0.000000
551	0.000000
552	0.000000
553	0.000000
554	0.000000
555	0.000654
556	0.000000
557	0.000000
558	0.000000
559	0.000000
560	0.001575
561	0.000000
562	0.000000
563	0.000000
564	0.151150
565	0.000002
566	0.000000
567	0.000000
568	0.004418
569	0.000000
570	0.000000
571	0.000000
572	0.000000
573	0.000000
574	0.000000
575	0.000000
576	0.998984
577	0.000000
578	0.000000
579	0.000000
580	0.000000
581	0.000000
582	0.000000
583	0.014915
584	0.000000
585	0.000004
586	0.000000
587	0.000000
588	0.000000
589	0.000000
590	0.000000
591	0.000000
592	0.000000
593	0.000000
594	1.000000
595	0.000000
596	0.014915
597	0.000000
598	0.000000
599	0.000000
600	0.000241
601	0.000000
602	0.000000
603	0.000000
604	0.000000
605	0.000000
606	0.000000
607	0.000000
608	0.000000
609	0.000000
610	0.000000
611	0.000000
612	0.000002
613	0.000000
614	0.000000
615	0.000000
616	0.000000
617	0.000000
618	0.000000
619	0.000000
620	0.000000
621	0.000000
622	0.000000
623	0.000066
624	0.000000
625	0.000000
626	0.000000
627	0.000000
628	0.000000
629	0.000000
630	0.000183
631	0.000000
632	0.000000
633	0.000000
634	0.000000
635	0.000000
636	0.000000
637	0.000000
638	0.000000
639	0.000000
640	0.000000
641	0.000000
642	0.000000
643	0.002840
644	0.023972
645	0.000000
646	0.000000
647	0.000000
648	0.029043
649	0.029043
650	0.185476
651	0.000000
652	0.000000
653	0.000000
654	0.000000
655	0.000000
656	0.000000
657	0.000000
658	0.000001
659	0.000000
660	0.008335
661	0.000000
662	0.000000
663	0.000000
664	0.000000
665	0.000000
666	0.000000
667	0.000013
668	0.000001
669	0.000000
670	0.000000
671	0.000000
672	0.000000
673	0.000000
674	0.000000
675	0.026847
676	0.000000
677	0.000000
678	0.000000
679	0.000000
680	0.000000
681	0.000001
682	0.000000
683	0.000001
684	0.000000
685	0.001713
686	0.999968
687	0.000000
688	0.000000
689	0.000000
690	0.000064
691	0.000000
692	0.000000
693	0.000012
694	0.000311
695	0.000000
696	0.000000
697	0.000000
698	0.000000
699	0.000000
700	0.000000
701	0.000000
702	0.000000
703	0.000000
704	0.000000
705	0.000000
706	0.002192
707	0.000000
708	0.000000
709	0.000000
710	0.000000
711	0.000000
712	0.000000
713	0.000000
714	0.000000
715	0.000000
716	0.000000
717	0.000000
718	0.000000
719	0.000000
720	0.000000
721	0.000000
722	0.000000
723	0.000000
724	0.000000
725	0.000000
726	0.000000
727	0.000000
728	0.999666
729	0.000000
730	0.000000
731	0.000000
732	0.000000
733	0.000000
734	0.000000
735	0.000400
736	0.000000
737	0.000000
738	0.000000
739	0.000000
740	0.928119
741	0.000000
742	0.000000
743	0.000000
744	0.000000
745	0.000000
746	0.000000
747	0.000066
748	0.000000
749	0.000002
750	0.000000
751	0.000000
752	0.000000
753	0.006457
754	0.000000
755	0.000000
756	0.000001
757	0.000000
758	0.000000
759	0.000000
760	0.000000
761	0.000000
762	0.000000
763	0.000002
764	0.000000
765	0.000000
766	0.017324
767	0.000000
768	0.000000
769	0.000000
770	0.000000
771	0.000000
772	0.000000
773	0.000000
774	0.000000
775	0.000000
776	0.000000
777	0.000000
778	0.000000
779	0.000000
780	0.000000
781	0.000000
782	1.000000
783	0.000000
784	0.000000
